county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Hawaii,residential,5250000,0,0,0,8,43015400
Hawaii,residential,5250000,0,1,0,23,123968700
Hawaii,residential,5250000,1,1,0,3,16144084
Hawaii,residential,5500000,0,0,0,1,5634800
Hawaii,residential,5500000,0,1,0,17,95939600
Hawaii,residential,5500000,1,1,0,1,5745998
Hawaii,residential,5750000,0,0,0,2,11735900
Hawaii,residential,5750000,0,1,0,9,53004100
Hawaii,residential,5750000,1,1,0,4,23545297
Hawaii,residential,6000000,0,0,0,16,99921200
Hawaii,residential,6000000,0,1,0,30,187104900
Hawaii,residential,6000000,1,1,0,4,24995828
Hawaii,residential,6500000,0,0,0,8,54082900
Hawaii,residential,6500000,0,1,0,28,188650300
Hawaii,residential,6500000,1,1,0,1,6769372
Hawaii,residential,7000000,0,0,0,2,14374300
Hawaii,residential,7000000,0,1,0,38,275921800
Hawaii,residential,7000000,1,1,0,2,14393855
Hawaii,residential,7500000,0,0,0,22,169801100
Hawaii,residential,7500000,0,1,0,24,186391400
Hawaii,residential,7500000,1,1,0,4,31064782
Hawaii,residential,8000000,0,0,0,3,24764000
Hawaii,residential,8000000,0,1,0,30,246867100
Hawaii,residential,8000000,1,1,0,4,32579463
Hawaii,residential,8500000,0,0,0,3,25688400
Hawaii,residential,8500000,0,1,0,41,358433200
Hawaii,residential,8500000,1,1,0,12,105098588
Hawaii,residential,9000000,0,0,0,1,9400000
Hawaii,residential,9000000,0,1,0,29,269941600
Hawaii,residential,9000000,1,1,0,2,18500539
Hawaii,residential,9500000,0,0,0,3,29276600
Hawaii,residential,9500000,0,1,0,18,175327300
Hawaii,residential,9500000,1,1,0,5,49194432
Hawaii,residential,10000000,0,0,0,8,92945700
Hawaii,residential,10000000,0,1,0,102,1146739700
Hawaii,residential,10000000,1,1,0,12,138412392
Hawaii,residential,12500000,0,0,0,3,41040600
Hawaii,residential,12500000,0,1,0,49,666686300
Hawaii,residential,12500000,1,1,0,13,179152747
Hawaii,residential,15000000,0,0,0,4,67533900
Hawaii,residential,15000000,0,1,0,89,1506435000
Hawaii,residential,15000000,1,1,0,7,124115417
Hawaii,residential,20000000,1,1,0,6,135843503
Kauai,ag_dwelling,0,0,1,1,1,59900
Kauai,ag_dwelling,300000,0,1,0,1,475800
